,Title_Length,Num_tokens,TTR,Num_sentences,WPS,FK_scores,GF_scores,Smog_scores,Num_punctuations,Num_quotations,Num_caps,Num_stopwords,Med_depth,Med_np_depth,Med_vp_depth,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,anger,fear,disgust,sadness,negative,anticipation,trust,surprise,joy,positive,Type
0,7,260,0.615062762,8,30.125,16.0562037,18.56975309,NaN,19,1,4,86,17.5,17,20,10,3,30,0,0,28,22,1,1,0,4,33,27,1,17,0,0,3,1,8,1,0,1,5,9,9,3,11,5,3,1,3,1,0,13,22,6,8,24,6,14,2,5,15,F
1,13,409,0.569767442,11,33.72727273,15.8549543,18.2957191,NaN,38,7,2,144,15,11,13,13,1,43,1,0,43,32,1,0,0,2,44,44,0,20,0,0,18,3,9,1,0,2,14,18,14,6,11,9,15,0,4,0,5,8,11,5,4,13,4,5,1,2,6,F
2,10,532,0.493449782,17,28.41176471,13.37694967,16.19526986,NaN,49,4,5,187,13,7,14,14,17,33,3,1,71,33,2,4,0,2,50,40,1,52,0,0,15,2,21,0,0,1,19,11,26,14,17,18,8,3,4,0,0,12,17,9,15,24,5,23,3,5,19,F
3,9,618,0.504816956,29,18.31034483,8.863611477,9.899341932,NaN,88,1,19,175,10,7,9,14,55,49,0,0,55,31,2,0,0,4,71,80,1,29,0,3,9,5,21,0,0,1,9,13,23,6,6,5,13,10,7,0,3,4,3,4,17,22,6,6,1,2,13,F
4,11,419,0.467914439,15,25.66666667,12.94294158,13.64563574,NaN,35,3,9,151,14,8,12,12,16,36,0,1,58,26,7,3,0,1,44,40,4,34,0,0,12,0,9,2,0,0,9,11,25,8,10,8,4,1,3,0,0,5,13,5,7,14,6,7,5,4,19,F
5,12,841,0.474393531,38,20.42105263,11.48333333,13.5951417,13.76565471,65,0,5,289,11,6,10,30,6,67,1,0,82,63,5,1,0,22,102,96,18,32,0,1,28,20,26,0,0,5,27,55,13,15,15,28,13,1,3,0,2,16,14,14,12,31,18,33,6,14,40,F
6,11,354,0.591216216,14,22.85714286,11.36136461,14.70575693,NaN,34,6,2,122,13,5,10,11,2,21,0,0,43,32,4,4,0,4,45,27,0,22,0,0,15,3,15,3,0,0,7,13,3,7,6,11,14,1,3,0,4,2,4,4,2,5,4,9,0,3,16,F
7,9,486,0.536945813,20,21.95,11.55776147,13.03192661,NaN,51,8,10,151,11,8,12,14,3,42,0,0,55,25,2,0,0,4,54,84,2,29,0,2,18,8,11,0,0,2,9,15,27,2,6,11,6,1,6,0,0,17,16,5,9,22,6,13,4,3,20,F
8,14,502,0.541062802,19,23.42105263,11.8452809,11.79538734,NaN,58,5,18,131,11,8,6,11,8,35,1,0,59,43,1,3,0,0,52,108,2,24,0,0,9,2,18,0,0,0,6,4,15,9,7,8,13,1,1,0,3,5,13,1,3,13,4,3,3,1,6,F
9,5,712,0.5312,19,34.52631579,16.91895522,19.17989002,NaN,56,4,17,242,16,9,14,16,12,68,0,0,86,63,1,6,0,2,133,58,1,38,0,0,10,14,16,1,0,1,22,19,25,8,14,6,17,7,1,0,3,7,25,3,14,37,17,24,9,6,30,F
10,11,872,0.487046632,30,26.96666667,13.70408824,16.22313725,15.73171695,63,4,9,298,13,6,10,21,14,95,1,0,103,62,6,1,0,6,167,80,3,32,0,0,14,17,24,0,0,6,20,26,30,22,13,8,28,3,4,0,4,10,10,4,8,23,16,28,5,6,43,F
11,15,473,0.490813648,20,21.6,7.974310345,9.987356322,NaN,42,11,3,155,11,8.5,11,21,5,45,2,0,49,21,1,0,0,9,62,57,0,20,0,0,29,4,11,0,0,2,7,22,12,3,5,15,15,4,6,0,4,1,4,1,2,4,7,7,3,5,7,F
12,17,788,0.519823789,28,24.92857143,13.10142345,15.2369133,NaN,92,1,9,264,12.5,8,11,26,9,78,0,0,92,56,3,0,0,10,104,74,0,46,2,1,13,10,35,0,1,1,19,24,10,12,21,15,22,4,4,0,4,12,15,7,11,19,13,24,3,14,44,F
13,10,882,0.413298566,39,20.38461538,10.99738692,12.80964179,14.55459255,88,3,16,280,11,7,11,10,24,108,0,0,105,37,3,3,0,9,141,132,8,31,0,1,8,11,19,0,0,2,20,30,24,10,16,3,31,7,0,0,1,8,11,7,1,20,13,22,6,6,35,F
14,8,241,0.580188679,8,26.875,14.03948598,16.49439252,NaN,27,1,1,70,12.5,11,17,5,14,29,0,0,26,11,1,0,0,0,33,21,2,17,0,0,2,0,9,0,0,0,3,1,22,8,6,0,0,3,0,0,1,7,10,2,7,8,1,4,3,1,5,F
15,4,632,0.464864865,25,22.84,13.48604764,15.30062347,NaN,61,6,0,235,13,7,11,12,9,66,2,0,82,44,2,2,0,2,80,53,0,48,0,0,6,12,21,0,1,1,18,15,25,12,23,11,14,4,5,0,1,17,26,6,12,34,11,9,5,0,17,F
16,11,1009,0.420758929,22,42.54545455,21.17541679,24.44226934,NaN,73,13,7,334,14,11.5,15,26,10,113,1,0,125,88,0,1,0,7,156,110,4,59,2,0,6,6,24,1,4,2,24,24,58,27,33,7,8,5,2,0,3,46,62,14,24,62,17,32,8,17,36,R
17,6,1012,0.453213078,44,20.5,12.81384756,15.18806014,15.33710201,111,0,9,335,11,7,10,26,23,106,0,0,120,94,1,2,0,4,156,65,0,58,1,0,16,15,36,0,0,1,16,19,48,20,33,10,16,7,6,0,2,25,45,21,17,31,18,32,6,14,43,R
18,8,698,0.471636953,26,24.88461538,13.94993007,16.57937656,NaN,51,4,3,227,14,7,12,15,3,63,2,0,83,67,4,0,0,1,102,63,0,66,0,0,9,4,21,1,1,2,18,19,26,14,15,16,21,7,2,1,1,22,46,20,27,54,15,22,2,4,19,R
19,9,869,0.5,29,26.51724138,11.96405498,13.4157392,NaN,102,1,7,257,13,10,11,17,39,68,0,0,105,63,2,8,0,2,102,103,3,66,0,0,9,14,22,0,1,1,21,15,32,22,23,13,22,4,1,2,0,14,18,1,14,26,12,12,5,7,14,R
20,11,1034,0.468785471,39,23.56410256,13.30655701,14.88541512,15.33710201,118,5,33,284,12,7,9.5,29,21,73,0,1,105,70,5,2,0,9,153,136,7,79,0,1,20,6,31,3,0,3,20,23,30,17,15,24,24,6,4,1,2,4,14,1,5,20,24,23,4,9,62,R
21,12,1002,0.481438515,33,28.12121212,13.1969697,15.74545455,14.45898005,74,14,15,341,14,9,14,23,16,98,2,1,121,58,1,1,0,7,140,116,6,42,2,0,34,15,48,1,0,0,23,24,53,28,18,15,19,7,4,0,3,17,13,7,10,33,10,29,1,5,35,R
22,5,948,0.501265823,35,23.74285714,13.86899368,16.44743472,15.77480295,118,9,6,274,12,7,9.5,26,20,75,2,1,108,75,8,1,0,8,137,58,5,69,0,0,20,5,34,4,2,1,14,26,14,35,15,21,37,7,0,0,2,3,7,10,6,18,9,27,2,9,33,R
23,9,991,0.470517449,35,25.97142857,12.02151692,14.36772287,13.86744224,87,12,24,335,14,6,12.5,20,13,85,1,1,111,66,5,0,0,8,103,81,10,56,0,1,53,12,53,2,0,2,25,39,46,17,13,39,24,4,9,0,5,30,22,10,12,42,16,26,8,9,34,R
24,12,999,0.476355248,30,30.4,14.10494075,15.93440931,15.06678064,87,10,13,308,12.5,7,10,23,22,99,2,0,129,59,3,6,0,9,140,112,1,77,0,1,15,3,36,2,0,1,13,28,37,23,27,15,16,6,3,0,3,14,25,8,12,33,9,15,5,4,30,R
25,9,984,0.336805556,38,24.36842105,12.33436831,14.58532627,14.69652958,60,5,22,324,14,11,12,16,19,121,5,0,118,61,5,4,0,13,151,133,4,33,4,0,12,11,43,0,2,1,20,32,33,12,13,13,33,7,3,0,4,14,26,12,20,33,16,31,10,18,42,R
26,6,417,0.543243243,11,35.81818182,18.71020202,20.76363636,NaN,23,2,2,133,18,13,18,12,5,38,0,0,46,19,0,0,0,2,74,55,2,22,0,1,3,7,7,0,0,3,19,16,19,19,6,4,11,4,0,0,0,6,5,0,5,9,9,11,4,5,15,R
27,7,1025,0.388583974,39,23.8974359,11.8367338,14.32292286,12.6883529,94,4,4,351,13,6,11.5,29,9,112,1,0,113,81,3,2,0,18,144,56,0,81,0,0,27,15,37,0,0,2,19,40,36,26,16,23,17,10,1,0,13,4,14,2,7,12,24,23,5,17,43,R
28,9,1019,0.454138702,36,25.80555556,14.3627957,17.34408602,16.19785254,91,4,5,336,13,9,11,38,21,83,1,0,127,72,3,2,0,4,183,60,1,84,1,0,15,9,36,3,0,2,27,23,27,17,35,23,23,8,4,0,2,17,20,11,9,31,31,31,1,19,71,R
29,12,1025,0.404867257,35,26.97142857,14.5489418,17.86878307,17.1224134,81,6,4,319,15,9,13,24,21,105,0,0,119,68,1,3,0,11,188,100,0,72,0,0,13,11,26,0,1,0,26,33,41,32,16,8,14,3,5,1,2,10,14,3,19,33,29,35,6,6,67,R
30,37,384,0.504451039,13,26.30769231,13.70743136,16.21248015,NaN,45,0,7,129,12,6,10,7,18,43,5,0,51,14,1,2,0,0,53,43,1,25,0,3,2,2,10,1,0,3,6,3,24,7,12,1,1,1,0,0,0,6,15,0,6,9,4,2,4,0,5,R
31,7,1029,0.52886836,27,34.74074074,17.23141768,19.52387177,NaN,92,15,22,318,14,7,11,28,6,94,0,1,120,90,2,1,0,4,136,116,3,65,0,0,31,14,27,1,0,5,26,23,55,22,27,18,12,3,4,0,3,16,23,7,15,30,14,18,8,10,41,R
